Timestamp;Nez;Bouche;Œil_Gauche;Œil_Droit;Joue_Gauche;Joue_Droite;Front;Menton
2025-06-23T15:44:17.098048;18.5;26.63;20.43;26.4;11.68;12.83;8.53;16.07
2025-06-23T15:44:17.299959;31.06;25.66;12.55;22.97;30.7;21.85;24.77;10.49
2025-06-23T15:44:17.385995;29.55;20.48;26.63;21.36;32.72;27.84;10.46;7.77
2025-06-23T15:44:17.451911;29.07;8.39;28.19;25.18;35.71;21.95;21.49;22.67
2025-06-23T15:44:17.523625;30.03;14.46;12.43;36.29;18.34;34.8;18.18;25.34
2025-06-23T15:44:17.582122;20.87;26.99;23.27;36.83;32.55;6.95;23.79;15.94
2025-06-23T15:44:17.688098;14.39;11.8;19.98;32.62;16.04;8.86;28.62;10.04
2025-06-23T15:44:17.757740;7.33;13.64;11.15;34.55;23.4;15.81;13.22;17.24
2025-06-23T15:44:17.819076;31.06;32.67;20.84;7.12;12.95;8.65;34.21;11.28
2025-06-23T15:44:17.924911;32.37;26.9;11.61;11.22;7.92;26.9;24.43;16.23
2025-06-23T15:44:18.049855;24.66;26.66;20.84;9.59;22.73;17.53;33.59;30.19
2025-06-23T15:44:18.144891;7.74;7.48;30.68;35.79;10.56;8.34;10.43;28.85
2025-06-23T15:44:18.274053;12.25;12.15;34.35;28.83;34.59;18.6;10.16;35.01
2025-06-23T15:44:18.366695;18.06;6.96;34.38;22.52;17.18;34.26;15.93;10.88
2025-06-23T15:44:18.500207;18.96;13.68;27.19;16.38;21.42;21.15;13.85;20.6
2025-06-23T15:44:18.598910;11.53;30.51;9.99;9.15;9.96;8.73;21.14;35.19
2025-06-23T15:44:18.721054;8.65;35.85;34.87;36.07;8.05;25.33;10.59;23.23
2025-06-23T15:44:18.843175;21.05;8.88;9.68;12.18;24.62;34.04;19.87;9.13
2025-06-23T15:44:18.942142;24.96;8.17;7.32;30.7;30.84;14.87;22.08;15.26
2025-06-23T15:44:19.078663;11.71;8.25;16.82;19.64;20.28;19.89;21.33;36.52
2025-06-23T15:44:19.166543;13.02;14.96;19.95;14.63;9.96;31.3;22.48;19.87
2025-06-23T15:44:19.291558;7.86;8.88;16.22;13.65;18.34;8.08;16.23;16.78
2025-06-23T15:44:19.508643;30.62;16.81;29.62;22.68;27.58;14.21;31.24;12.73
2025-06-23T15:44:19.606753;21.51;28.04;10.32;12.66;28.4;30.92;29.62;7.59
2025-06-23T15:44:19.707093;33.49;32.39;7.61;17.57;19.57;11.7;33.9;36.27
2025-06-23T15:44:19.836777;27.8;15.56;19.34;17.47;27.26;20.69;27.1;23.74
2025-06-23T15:44:19.940895;20.8;29.99;32.92;25.12;28.48;24.89;31.91;8.64
2025-06-23T15:44:20.017809;32.9;24.17;10.56;7.61;25.03;29.73;9.91;13.73
2025-06-23T15:44:20.099004;27.44;7.86;19.14;20.0;28.5;28.97;36.83;35.96
2025-06-23T15:44:20.191578;35.5;28.2;25.49;8.85;12.75;27.79;22.7;26.44
2025-06-23T15:44:20.389029;9.75;31.5;25.86;32.14;13.31;31.49;11.85;30.92
2025-06-23T15:44:20.501987;25.59;9.62;17.63;25.18;11.95;24.7;12.85;18.66
2025-06-23T15:44:20.588624;30.07;11.33;33.3;21.6;24.84;32.5;28.31;7.37
2025-06-23T15:44:20.670605;22.54;26.1;31.82;36.34;24.57;25.46;25.52;18.55
2025-06-23T15:44:20.765723;20.33;12.1;7.88;18.87;32.27;30.76;30.16;12.66
2025-06-23T15:44:20.915855;14.63;25.85;32.18;17.63;13.14;8.54;26.98;27.7
2025-06-23T15:44:21.008944;21.55;32.03;7.64;8.22;17.67;30.02;27.36;17.09
2025-06-23T15:44:21.130719;28.92;31.07;10.38;16.31;36.12;22.21;22.9;14.83
2025-06-23T15:44:21.231679;35.94;36.4;23.67;36.33;7.3;14.36;21.39;22.73
2025-06-23T15:44:21.293299;22.65;30.61;26.01;15.62;13.26;27.67;14.34;28.47
2025-06-23T15:44:21.470554;19.71;10.81;22.82;23.45;14.44;9.87;36.77;17.87
2025-06-23T15:44:21.538031;16.33;20.67;33.16;14.31;30.19;35.25;7.9;30.59
2025-06-23T15:44:21.721087;26.47;7.57;14.57;13.12;26.87;12.59;8.55;24.61
2025-06-23T15:44:21.848775;15.23;15.68;32.71;26.88;28.96;28.86;30.57;13.31
2025-06-23T15:44:21.973616;16.47;29.49;8.59;31.57;27.88;16.37;20.84;25.27
2025-06-23T15:44:22.221880;13.21;36.4;18.88;8.66;22.98;32.6;24.9;26.48
2025-06-23T15:44:22.294730;25.07;32.35;11.5;34.34;23.05;15.17;23.81;15.43
2025-06-23T15:44:22.351869;32.13;10.83;36.79;34.85;19.77;8.15;21.37;12.07
2025-06-23T15:44:22.419119;35.05;33.31;26.91;36.66;15.39;36.12;31.15;20.29
2025-06-23T15:44:22.475583;9.93;9.1;33.18;30.8;17.13;36.58;20.44;20.11
2025-06-23T15:44:22.551905;18.19;22.91;15.63;17.67;9.34;34.21;12.23;30.61
2025-06-23T15:44:22.615660;16.58;30.66;25.38;30.83;32.75;10.76;32.01;16.61
2025-06-23T15:44:22.735717;36.41;13.84;35.08;25.71;19.78;18.73;34.29;19.36
2025-06-23T15:44:22.814955;30.79;20.49;32.2;23.6;31.51;15.8;13.14;28.75
2025-06-23T15:44:23.043390;22.86;23.78;8.5;33.92;19.01;23.14;18.89;13.14
2025-06-23T15:44:23.148257;35.83;33.2;19.94;13.58;30.33;18.5;20.05;11.63
2025-06-23T15:44:23.227833;15.69;22.9;36.12;27.06;26.01;9.29;31.72;30.32
2025-06-23T15:44:23.288676;31.33;30.67;19.84;22.65;31.13;36.3;8.58;26.72
2025-06-23T15:44:23.431788;20.02;22.78;25.25;21.54;14.47;9.69;18.46;29.97
2025-06-23T15:44:23.606991;32.66;16.11;21.54;29.4;36.31;34.49;9.0;24.43
2025-06-23T15:44:23.756031;17.1;33.5;14.7;19.43;35.97;20.34;29.64;13.99
2025-06-23T15:44:23.928868;35.03;31.74;8.79;32.68;11.81;25.1;35.37;13.33
2025-06-23T15:44:24.091897;36.79;26.72;8.0;14.46;8.58;32.77;34.02;9.1
2025-06-23T15:44:24.164651;18.56;15.2;35.47;16.66;14.0;22.89;28.61;25.23
2025-06-23T15:44:24.227001;29.09;15.54;29.35;19.55;18.44;27.5;21.64;18.89
2025-06-23T15:44:24.305816;8.1;31.35;32.86;25.56;12.93;7.82;34.65;21.61
2025-06-23T15:44:24.363421;20.22;22.35;34.16;22.38;20.13;25.54;21.65;14.1
2025-06-23T15:44:24.431756;33.2;33.44;15.71;19.32;25.58;8.04;36.02;34.46
2025-06-23T15:44:24.597911;28.68;34.42;7.28;12.49;29.38;12.5;32.6;16.94
2025-06-23T15:44:24.675019;13.28;31.61;18.3;21.59;9.35;10.79;30.26;8.99
2025-06-23T15:44:24.838354;26.87;29.51;8.61;32.84;30.14;28.13;15.4;31.44
2025-06-23T15:44:24.922683;33.63;27.32;20.24;7.03;10.86;8.6;23.41;23.04
2025-06-23T15:44:24.985700;15.11;32.69;31.03;18.46;21.58;29.91;12.57;13.87
2025-06-23T15:44:25.087078;15.28;9.85;20.26;17.14;8.05;21.32;23.01;25.63
2025-06-23T15:44:25.220811;9.19;16.21;19.8;11.31;17.1;23.53;32.07;21.43
2025-06-23T15:44:25.378915;9.75;36.54;32.2;19.42;32.52;17.02;17.52;28.57
2025-06-23T15:44:25.557716;30.41;8.86;18.75;31.32;18.84;14.65;35.59;32.52
2025-06-23T15:44:25.660506;18.11;34.49;19.29;27.48;14.09;16.55;10.85;33.13
2025-06-23T15:44:25.749743;18.26;23.28;24.37;27.79;27.25;7.06;34.26;15.64
2025-06-23T15:44:25.807635;9.14;32.86;9.09;14.66;27.17;24.98;15.36;17.44
2025-06-23T15:44:25.891200;8.05;27.6;28.16;8.62;10.83;31.7;25.5;31.57
2025-06-23T15:44:26.045032;33.77;27.77;33.52;33.58;9.59;28.63;14.53;17.39
2025-06-23T15:44:26.189796;33.41;28.3;26.92;21.69;30.26;26.65;23.36;23.8
2025-06-23T15:44:26.334586;22.61;27.79;33.26;14.38;29.99;27.58;36.45;30.39
2025-06-23T15:44:26.438842;15.54;17.21;31.17;18.4;14.44;14.38;23.1;22.26
2025-06-23T15:44:26.584607;9.98;31.54;11.45;35.97;33.22;32.93;11.47;16.19
2025-06-23T15:44:26.760812;17.83;10.62;18.9;32.1;26.38;25.24;6.86;34.75
2025-06-23T15:44:26.840192;13.85;27.51;11.5;14.1;7.28;33.2;8.75;10.86
